venue,date,batter_name,runs,fours,sixes
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-04,Naman Dhir,46,4,3
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-04,Suryakumar Yadav,67,9,1
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-04,Tilak Varma,25,2,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-04,Hardik Pandya (c),28,2,1
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-04,Mitchell Santner,2,0,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-04,Shardul Thakur,4,1,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-04,Akash Deep,4,1,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-04,Avesh Khan,4,1,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-04,Digvesh Singh Rathi,4,1,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-04,Ravi Bishnoi,4,0,0
"MA Chidambaram Stadium, Chennai",2025-04-05,Jake Fraser-McGurk,0,0,0
"MA Chidambaram Stadium, Chennai",2025-04-05,Rahul (wk),77,6,3
"MA Chidambaram Stadium, Chennai",2025-04-05,Abishek Porel,33,4,1
"MA Chidambaram Stadium, Chennai",2025-04-05,Axar (c),21,2,1
"MA Chidambaram Stadium, Chennai",2025-04-05,Sameer Rizvi,20,1,1
"MA Chidambaram Stadium, Chennai",2025-04-05,Stubbs,24,2,1
"MA Chidambaram Stadium, Chennai",2025-04-05,Ashutosh Sharma,1,0,0
"MA Chidambaram Stadium, Chennai",2025-04-05,Vipraj Nigam,1,0,0
"MA Chidambaram Stadium, Chennai",2025-04-05,Khaleel Ahmed,4,2,0
"MA Chidambaram Stadium, Chennai",2025-04-05,Mukesh Choudhary,4,0,0
"MA Chidambaram Stadium, Chennai",2025-04-05,Ashwin,3,0,0
"MA Chidambaram Stadium, Chennai",2025-04-05,Ravindra Jadeja,2,1,0
"MA Chidambaram Stadium, Chennai",2025-04-05,Noor Ahmad,3,1,0
"MA Chidambaram Stadium, Chennai",2025-04-05,Matheesha Pathirana,4,1,0
"MA Chidambaram Stadium, Chennai",2025-04-05,Rachin Ravindra,3,0,0
"MA Chidambaram Stadium, Chennai",2025-04-05,Devon Conway,13,1,0
"MA Chidambaram Stadium, Chennai",2025-04-05,Ruturaj Gaikwad (c),5,1,0
"MA Chidambaram Stadium, Chennai",2025-04-05,Vijay Shankar,69,5,1
"MA Chidambaram Stadium, Chennai",2025-04-05,Shivam Dube,18,1,1
"MA Chidambaram Stadium, Chennai",2025-04-05,Ravindra Jadeja,2,0,0
"MA Chidambaram Stadium, Chennai",2025-04-05,MS Dhoni (wk),30,1,1
"MA Chidambaram Stadium, Chennai",2025-04-05,Mitchell Starc,4,1,1
"MA Chidambaram Stadium, Chennai",2025-04-05,Mukesh Kumar,4,1,0
"MA Chidambaram Stadium, Chennai",2025-04-05,Mohit Sharma,3,0,1
"MA Chidambaram Stadium, Chennai",2025-04-05,Vipraj Nigam,4,2,0
"MA Chidambaram Stadium, Chennai",2025-04-05,Kuldeep Yadav,4,1,0
"MA Chidambaram Stadium, Chennai",2025-04-05,Axar Patel (c),1,0,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Yashasvi Jaiswal,67,3,5
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Samson (c & wk),38,6,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Riyan Parag,43,3,3
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Nitish Rana,12,2,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Hetmyer,20,2,1
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Dhruv Jurel,13,1,1
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Arshdeep Singh,4,1,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Marco Jansen,4,1,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Lockie Ferguson,4,2,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Maxwell,1,0,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Chahal,3,0,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Stoinis,4,0,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Priyansh Arya,0,0,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Prabhsimran Singh (wk),17,2,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Shreyas Iyer (c),10,2,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Marcus Stoinis,1,0,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Nehal Wadhera,62,4,3
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Glenn Maxwell,30,3,1
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Shashank Singh,10,0,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Suryansh Shedge,2,0,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Marco Jansen,3,0,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Arshdeep Singh,1,0,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Lockie Ferguson,4,1,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Jofra Archer,4,3,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Yudhvir Singh Charak,2,0,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Sandeep Sharma,4,2,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Maheesh Theekshana,4,2,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Kumar Kartikeya,2,1,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,Wanindu Hasaranga,4,1,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Abhishek Sharma,18,4,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Head,8,2,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Ishan Kishan,17,2,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Nitish Reddy,31,3,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Klaasen (wk),27,2,1
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Aniket Verma,18,2,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Kamindu Mendis,1,0,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Cummins (c),22,3,1
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Simarjeet Singh,0,0,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Shami,6,1,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Siraj,4,4,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Ishant,4,0,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Prasidh,4,2,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Rashid Khan,4,0,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Sai Kishore,4,2,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Sai Sudharsan,5,0,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Shubman Gill (c),61,9,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Jos Buttler (wk),0,0,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Washington Sundar,49,5,2
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Sherfane Rutherford,35,6,1
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Mohammed Shami,4,2,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Pat Cummins (c),3.4,1,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Simarjeet Singh,1,0,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Jaydev Unadkat,2,0,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Zeeshan Ansari,4,0,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Kamindu Mendis,1,0,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,Abhishek Sharma,1,0,0
"Wankhede Stadium, Mumbai",2025-04-07,Phil Salt,4,1,0
"Wankhede Stadium, Mumbai",2025-04-07,Kohli,67,8,2
"Wankhede Stadium, Mumbai",2025-04-07,Padikkal,37,2,3
"Wankhede Stadium, Mumbai",2025-04-07,Rajat Patidar (c),64,5,4
"Wankhede Stadium, Mumbai",2025-04-07,Livingstone,0,0,0
"Wankhede Stadium, Mumbai",2025-04-07,Jitesh Sharma (wk),40,2,4
"Wankhede Stadium, Mumbai",2025-04-07,Tim David,1,0,0
"Wankhede Stadium, Mumbai",2025-04-07,Boult,4,2,0
"Wankhede Stadium, Mumbai",2025-04-07,D Chahar,2,0,0
"Wankhede Stadium, Mumbai",2025-04-07,Bumrah,4,0,0
"Wankhede Stadium, Mumbai",2025-04-07,Will Jacks,1,0,0
"Wankhede Stadium, Mumbai",2025-04-07,Santner,4,0,0
"Wankhede Stadium, Mumbai",2025-04-07,Hardik Pandya (c),4,2,0
"Wankhede Stadium, Mumbai",2025-04-07,Vignesh Puthur,1,1,0
"Wankhede Stadium, Mumbai",2025-04-07,Rohit Sharma,17,2,1
"Wankhede Stadium, Mumbai",2025-04-07,Ryan Rickelton (wk),17,4,0
"Wankhede Stadium, Mumbai",2025-04-07,Will Jacks,22,2,1
"Wankhede Stadium, Mumbai",2025-04-07,Suryakumar Yadav,28,5,0
"Wankhede Stadium, Mumbai",2025-04-07,Tilak Varma,56,4,4
"Wankhede Stadium, Mumbai",2025-04-07,Hardik Pandya (c),42,3,4
"Wankhede Stadium, Mumbai",2025-04-07,Naman Dhir,11,1,1
"Wankhede Stadium, Mumbai",2025-04-07,Mitchell Santner,8,0,1
"Wankhede Stadium, Mumbai",2025-04-07,Deepak Chahar,0,0,0
"Wankhede Stadium, Mumbai",2025-04-07,Trent Boult,1,0,0
"Wankhede Stadium, Mumbai",2025-04-07,Jasprit Bumrah,0,0,0
"Wankhede Stadium, Mumbai",2025-04-07,Bhuvneshwar Kumar,4,1,0
"Wankhede Stadium, Mumbai",2025-04-07,Yash Dayal,4,2,0
"Wankhede Stadium, Mumbai",2025-04-07,Josh Hazlewood,4,2,0
"Wankhede Stadium, Mumbai",2025-04-07,Suyash Sharma,4,0,0
"Wankhede Stadium, Mumbai",2025-04-07,Krunal Pandya,4,4,0
"Eden Gardens, Kolkata",2025-04-08,Markram,47,4,2
"Eden Gardens, Kolkata",2025-04-08,Mitchell Marsh,81,6,5
"Eden Gardens, Kolkata",2025-04-08,Pooran,87,7,8
"Eden Gardens, Kolkata",2025-04-08,Abdul Samad,6,1,0
"Eden Gardens, Kolkata",2025-04-08,David Miller,4,0,0
"Eden Gardens, Kolkata",2025-04-08,Vaibhav Arora,4,0,0
"Eden Gardens, Kolkata",2025-04-08,Spencer Johnson,3,0,0
"Eden Gardens, Kolkata",2025-04-08,Varun Chakaravarthy,4,0,0
"Eden Gardens, Kolkata",2025-04-08,Harshit Rana,4,2,0
"Eden Gardens, Kolkata",2025-04-08,Narine,3,0,0
"Eden Gardens, Kolkata",2025-04-08,Russell,2,1,0
"Eden Gardens, Kolkata",2025-04-08,Quinton de Kock (wk),15,0,2
"Eden Gardens, Kolkata",2025-04-08,Sunil Narine,30,4,2
"Eden Gardens, Kolkata",2025-04-08,Ajinkya Rahane (c),61,8,2
"Eden Gardens, Kolkata",2025-04-08,Venkatesh Iyer,45,6,1
"Eden Gardens, Kolkata",2025-04-08,Ramandeep Singh,1,0,0
"Eden Gardens, Kolkata",2025-04-08,Angkrish Raghuvanshi,5,1,0
"Eden Gardens, Kolkata",2025-04-08,Andre Russell,7,0,1
"Eden Gardens, Kolkata",2025-04-08,Rinku Singh,38,6,2
"Eden Gardens, Kolkata",2025-04-08,Harshit Rana,10,2,0
"Eden Gardens, Kolkata",2025-04-08,Akash Deep,4,2,0
"Eden Gardens, Kolkata",2025-04-08,Shardul Thakur,4,2,0
"Eden Gardens, Kolkata",2025-04-08,Avesh Khan,4,1,0
"Eden Gardens, Kolkata",2025-04-08,Digvesh Singh Rathi,4,1,0
"Eden Gardens, Kolkata",2025-04-08,Ravi Bishnoi,4,1,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Priyansh Arya,103,7,9
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Prabhsimran (wk),0,0,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Shreyas Iyer (c),9,0,1
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Stoinis,4,0,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Nehal Wadhera,9,0,1
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Maxwell,1,0,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Shashank Singh,52,2,3
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Marco Jansen,34,2,2
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Khaleel Ahmed,4,2,1
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Mukesh Choudhary,2,1,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Ashwin,4,2,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Ravindra Jadeja,3,0,1
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Noor Ahmad,3,1,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Matheesha Pathirana,4,0,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Rachin Ravindra,36,6,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Devon Conway,69,6,2
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Ruturaj Gaikwad (c),1,0,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Shivam Dube,42,3,2
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,MS Dhoni (wk),27,1,3
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Ravindra Jadeja,9,0,1
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Vijay Shankar,2,0,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Arshdeep Singh,4,0,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Yash Thakur,4,1,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Glenn Maxwell,2,1,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Marco Jansen,4,0,1
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Lockie Ferguson,4,2,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Marcus Stoinis,1,0,0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,Yuzvendra Chahal,1,0,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Sai Sudharsan,82,8,3
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Shubman Gill (c),2,0,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Jos Buttler (wk),36,5,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Shahrukh Khan,36,4,2
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Sherfane Rutherford,7,0,1
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Rahul Tewatia,24,2,2
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Rashid Khan,12,1,1
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Arshad Khan,0,0,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Jofra Archer,4,1,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Fazalhaq Farooqi,4,0,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Tushar Deshpande,4,2,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Sandeep Sharma,4,1,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,M Theekshana,4,2,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Yashasvi Jaiswal,6,1,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Sanju Samson (c & wk),41,4,2
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Nitish Rana,1,0,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Riyan Parag,26,1,3
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Dhruv Jurel,5,1,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Shimron Hetmyer,52,4,3
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Shubham Dubey,1,0,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Jofra Archer,4,0,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Maheesh Theekshana,5,0,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Tushar Deshpande,3,0,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Sandeep Sharma,6,0,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Mohammed Siraj,4,1,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Arshad Khan,2,1,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Prasidh Krishna,4,3,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Kulwant Khejroliya,3,1,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Rashid Khan,4,2,0
"Narendra Modi Stadium, Ahmedabad",2025-04-09,Ravisrinivasan Sai Kishore,2.2,2,0
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Phil Salt,37,4,3
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Kohli,22,1,2
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Padikkal,1,0,0
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Rajat Patidar (c),25,1,1
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Livingstone,4,0,0
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Jitesh Sharma (wk),3,0,0
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Krunal Pandya,18,1,0
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Tim David,37,2,4
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Bhuvneshwar,1,0,0
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Mitchell Starc,3,0,1
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Axar (c),4,0,0
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Vipraj Nigam,4,2,0
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Mukesh Kumar,3,1,0
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Kuldeep Yadav,4,2,0
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Mohit Sharma,2,1,0
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Faf du Plessis,2,0,0
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Jake Fraser-McGurk,7,1,0
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Abishek Porel,7,1,0
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,KL Rahul (wk),93,7,6
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Axar Patel (c),15,2,0
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Tristan Stubbs,38,4,1
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Bhuvneshwar Kumar,4,2,0
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Yash Dayal,3.5,1,0
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Josh Hazlewood,3,0,0
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Suyash Sharma,4,1,0
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Krunal Pandya,2,0,0
"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,Liam Livingstone,1,0,0
"MA Chidambaram Stadium, Chennai",2025-04-11,Rachin Ravindra,4,0,0
"MA Chidambaram Stadium, Chennai",2025-04-11,Conway,12,2,0
"MA Chidambaram Stadium, Chennai",2025-04-11,Tripathi,16,1,0
"MA Chidambaram Stadium, Chennai",2025-04-11,Vijay Shankar,29,2,1
"MA Chidambaram Stadium, Chennai",2025-04-11,Shivam Dube,31,3,0
"MA Chidambaram Stadium, Chennai",2025-04-11,Ashwin,1,0,0
"MA Chidambaram Stadium, Chennai",2025-04-11,Ravindra Jadeja,0,0,0
"MA Chidambaram Stadium, Chennai",2025-04-11,Deepak Hooda,0,0,0
"MA Chidambaram Stadium, Chennai",2025-04-11,Dhoni (c & wk),1,0,0
"MA Chidambaram Stadium, Chennai",2025-04-11,Noor Ahmad,1,0,0
"MA Chidambaram Stadium, Chennai",2025-04-11,Anshul Kamboj,3,0,0
"MA Chidambaram Stadium, Chennai",2025-04-11,Vaibhav Arora,4,1,0
"MA Chidambaram Stadium, Chennai",2025-04-11,Moeen,4,1,0
"MA Chidambaram Stadium, Chennai",2025-04-11,Harshit Rana,4,2,0
"MA Chidambaram Stadium, Chennai",2025-04-11,Varun Chakaravarthy,4,2,0
"MA Chidambaram Stadium, Chennai",2025-04-11,Narine,4,3,0
"MA Chidambaram Stadium, Chennai",2025-04-11,Quinton de Kock (wk),23,0,3
"MA Chidambaram Stadium, Chennai",2025-04-11,Sunil Narine,44,2,5
"MA Chidambaram Stadium, Chennai",2025-04-11,Ajinkya Rahane (c),20,1,1
"MA Chidambaram Stadium, Chennai",2025-04-11,Rinku Singh,15,1,1
"MA Chidambaram Stadium, Chennai",2025-04-11,Khaleel Ahmed,3,0,0
"MA Chidambaram Stadium, Chennai",2025-04-11,Anshul Kamboj,2,1,1
"MA Chidambaram Stadium, Chennai",2025-04-11,Ravichandran Ashwin,3,0,0
"MA Chidambaram Stadium, Chennai",2025-04-11,Noor Ahmad,2,1,0
"MA Chidambaram Stadium, Chennai",2025-04-11,Ravindra Jadeja,0.1,0,1
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Sai Sudharsan,56,7,1
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Shubman Gill (c),60,6,1
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Jos Buttler (wk),16,2,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Washington Sundar,2,0,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Sherfane Rutherford,22,3,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Shahrukh Khan,11,0,1
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Rahul Tewatia,0,0,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Rashid Khan,4,0,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Thakur,4,2,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Akash Deep,3,0,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Digvesh Rathi,4,1,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Avesh Khan,4,1,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Ravi Bishnoi,4,2,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Markram,1,0,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Aiden Markram,58,9,1
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Rishabh Pant (c & wk),21,4,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Nicholas Pooran,61,1,7
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Ayush Badoni,28,2,1
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,David Miller,7,0,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Abdul Samad,2,0,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Mohammed Siraj,4,0,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Arshad Khan,2,0,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Prasidh Krishna,4,2,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Rashid Khan,4,1,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Washington Sundar,4,1,0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Ravisrinivasan Sai Kishore,1.3,0,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-04-12,Priyansh Arya,36,2,4
